"document_id","framework","country","source_type","is_official","file_type","relative_path"
"cobit_2019_framework_governance_and_management_objectives_res_eng_1118_1","cobit","","official_standard","true","pdf","COBIT\COBIT-2019-Framework-Governance-and-Management-Objectives_res_eng_1118-1.pdf"
"01_iso_27001_implementation_checklist","iso27001","","implementation_guide","false","xlsx","ISO27001\01-ISO-27001-Implementation-Checklist.xlsx"
"0b_implemenation_guide","iso27001","","implementation_guide","false","pdf","ISO27001\0B-IMPLEMENATION-GUIDE.pdf"
"27001_implementation_guide","iso27001","","implementation_guide","false","pdf","ISO27001\27001_implementation_guide.pdf"
"iso_27001_annex_a_controls_list_lm","iso27001","","implementation_guide","false","pdf","ISO27001\ISO 27001 Annex A Controls List LM.pdf"
"iso_27001_the_comprehensive_checklist_isms_online","iso27001","","implementation_guide","false","pdf","ISO27001\ISO 27001 The Comprehensive Checklist – ISMS.online.pdf"
"iso1","iso27001","","standard_supporting_text","false","pdf","ISO27001\iso1.pdf"
"iso2","iso27001","","standard_supporting_text","false","pdf","ISO27001\iso2.pdf"
"iso_27001_2022_checklist","iso27001","","implementation_guide","false","pdf","ISO27001\ISO-27001-2022-checklist-.pdf"
"iso_27001_controls_list_free_download","iso27001","","standard_supporting_text","false","xlsx","ISO27001\ISO-27001-Controls-List-Free-Download.xlsx"
"iso_27001_controls_list_free_download_pdf","iso27001","","standard_supporting_text","false","pdf","ISO27001\ISO-27001-Controls-List-Free-Download-pdf-.pdf"
"iso_27001_implementation_checklist","iso27001","","implementation_guide","false","pdf","ISO27001\ISO-27001-Implementation-Checklist.pdf"
"iso3","iso27001","","standard_supporting_text","false","pdf","ISO27001\iso3.pdf"
"iso4","iso27001","","standard_supporting_text","false","pdf","ISO27001\iso4.pdf"
"iso5","iso27001","","standard_supporting_text","false","pdf","ISO27001\iso5.pdf"
"iso6","iso27001","","standard_supporting_text","false","pdf","ISO27001\iso6.pdf"
"nqa_iso_27001_implementation_guide","iso27001","","implementation_guide","false","pdf","ISO27001\NQA-ISO-27001-Implementation-Guide.pdf"
"sbs_guide_implementation_isoiec_27001_final","iso27001","","implementation_guide","false","pdf","ISO27001\SBS-Guide_Implementation-ISOIEC-27001_final.pdf"
"understanding_iso27001_2022_people_process_technology_v8","iso27001","","standard_supporting_text","false","pdf","ISO27001\understanding-iso27001-2022-people-process-technology_v8.pdf"
"nist_cswp_29","nist","","official_standard","true","pdf","NIST\NIST.CSWP.29.pdf"
"nist_sp_800_53r5","nist","","official_standard","true","pdf","NIST\NIST.SP.800-53r5.pdf"
"pci_dss_v4_0_1","pci_dss","","official_standard","true","pdf","Pcidss\PCI-DSS-v4_0_1.pdf"
"lgpd","regulation","brazil","official_regulation","true","pdf","Regulations\LGPD.pdf"
"pipeda","regulation","canada","official_regulation","true","pdf","Regulations\PIPEDA.pdf"
"pipl","regulation","china","official_regulation","true","pdf","Regulations\PIPL.pdf"
"egypt_pdpl","regulation","egypt","official_regulation","true","pdf","Regulations\Egypt PDPL.pdf"
"dora","regulation","eu","official_regulation","true","pdf","Regulations\DORA.pdf"
"gdpr","regulation","eu","official_regulation","true","pdf","Regulations\GDPR.pdf"
"morocco_09_08","regulation","morocco","official_regulation","true","pdf","Regulations\Morocco 09-08.pdf"
"uae_pdpl","regulation","uae","official_regulation","true","pdf","Regulations\UAE PDPL.pdf"
"ccpa","regulation","usa_california","official_regulation","true","pdf","Regulations\CCPA.pdf"
"fcra","regulation","usa_federal","official_regulation","true","pdf","Regulations\FCRA.pdf"
"hipaa","regulation","usa_federal","official_regulation","true","pdf","Regulations\HIPAA.pdf"
"hitech","regulation","usa_federal","official_regulation","true","pdf","Regulations\HITECH.pdf"
"sox","regulation","usa_federal","official_regulation","true","pdf","Regulations\SOX.pdf"
"aicpa_soc2_compliance_guide_on_aws","soc2","","implementation_guide","false","pdf","SOC 2\AICPA_SOC2_Compliance_Guide_on_AWS.pdf"
"drata_a_start_to_finish_guide_on_soc_2_compliance","soc2","","implementation_guide","false","pdf","SOC 2\Drata-A-Start-to-Finish-Guide-on-SOC-2-Compliance.pdf"
"s3_security_your_checklist_for_soc2_compliance","soc2","","implementation_guide","false","pdf","SOC 2\S3-Security_Your-Checklist-for-SOC2-Compliance.pdf"
"soc2_compliance_checklist","soc2","","implementation_guide","false","pdf","SOC 2\SOC2_Compliance_-Checklist.pdf"
"soc2_compliance_checklist","soc2","","implementation_guide","false","pdf","SOC 2\SOC2-Compliance-Checklist.pdf"
"soc_2_compliance_handbook_whitepaper","soc2","","implementation_guide","false","pdf","SOC 2\SOC-2-Compliance-Handbook_Whitepaper.pdf"
"tisax_participant_handbook","tisax","","official_standard","true","pdf","TISAX\TISAX Participant Handbook.pdf"
